# Beam-counter reference, generated by tools/copperline-beamtable.sh
# source   = copperline 0.20.0 (e868a66), --model A500 --factory
# generated= 2026-09-15
#
# Sampling resolution: run_until stops at INSTRUCTION resolution, not colour
# clock resolution, so positions come at roughly every 5 colour clocks and a
# lag narrower than that is BOUNDED by this table, not pinned by it. Reading a
# register at cck resolution needs a guest polling loop (what the vAmigaTS VPOS
# suite and timing-test rows 16/17/21 do), not the debugger.
#
# Columns are one instant each, read with the machine stopped:
#   vpos,hpos  Copperline's internal beam position (beam.get). hpos is
#              in COLOUR CLOCKS. Ours is [8:0] at 140ns with hpos[0] as
#              the cck phase, so ours maps as hpos[8:1].
#   vposr      custom.read 0x004 -- a debugger peek, not a CPU bus read,
#              so it carries no CPU-read cost. That is deliberate: it
#              makes it comparable to our combinational data_out.
#   vhposr     custom.read 0x006
#   dhpos      vhposr[7:0] - hpos, signed. Constant across the table on
#              the side that generated it; our RTL reports hpos[8:1]-1
#              (the 06f30af decrement). The ABSOLUTE value is not
#              comparable between implementations -- neither internal
#              counter's zero point is a shared reference -- so the
#              bench checks that it is CONSTANT, not what it equals.
#   vok        vhposr[15:8] == vpos & 0xFF     (1 = readback agrees)
#   pok        vposr[0]      == vpos[8]        (1 = readback agrees)
#
# vok/pok are the origin-INDEPENDENT columns, and the reason this table
# is worth having. They ask only whether the readback describes the beam
# position it was taken at, which both implementations can be asked
# without agreeing on anything first. A zero marks a readback lag --
# exactly what T7 is chasing.
#
vpos	hpos	vposr	vhposr	dhpos	vok	pok
0	0	0xA001	0x0003	3	1	0
4	2	0xA000	0x0405	3	1	1
8	0	0xA000	0x0803	3	1	1
12	1	0xA000	0x0C04	3	1	1
16	2	0xA000	0x1005	3	1	1
20	0	0xA000	0x1403	3	1	1
24	0	0xA000	0x1803	3	1	1
28	4	0xA000	0x1C07	3	1	1
32	3	0xA000	0x2006	3	1	1
36	3	0xA000	0x2406	3	1	1
40	2	0xA000	0x2805	3	1	1
44	3	0xA000	0x2C06	3	1	1
48	1	0xA000	0x3004	3	1	1
52	4	0xA000	0x3407	3	1	1
56	6	0xA000	0x3809	3	1	1
60	0	0xA000	0x3C03	3	1	1
64	2	0xA000	0x4005	3	1	1
68	1	0xA000	0x4404	3	1	1
72	1	0xA000	0x4804	3	1	1
76	5	0xA000	0x4C08	3	1	1
80	6	0xA000	0x5009	3	1	1
84	3	0xA000	0x5406	3	1	1
88	5	0xA000	0x5808	3	1	1
92	2	0xA000	0x5C05	3	1	1
96	1	0xA000	0x6004	3	1	1
100	3	0xA000	0x6406	3	1	1
104	0	0xA000	0x6803	3	1	1
108	0	0xA000	0x6C03	3	1	1
112	0	0xA000	0x7003	3	1	1
116	0	0xA000	0x7403	3	1	1
120	0	0xA000	0x7803	3	1	1
124	0	0xA000	0x7C03	3	1	1
128	0	0xA000	0x8003	3	1	1
132	1	0xA000	0x8404	3	1	1
136	3	0xA000	0x8806	3	1	1
140	3	0xA000	0x8C06	3	1	1
144	4	0xA000	0x9007	3	1	1
148	4	0xA000	0x9407	3	1	1
